Year,CO2 emission (Kilotonne)
1950,1626.816
1951,3172.757
1952,5110.776
1953,7177.005
1954,8961.046
1955,10624.205
1956,12041.816
1957,14360.92
1958,16309.842
1959,18364.959
1960,20621.626
1961,22955.267
1962,25516.046
1963,28047.573
1964,30318.956
1965,32974.999
1966,35634.736
1967,38579.819
1968,41817.904
1969,46132.967
1970,49726.044
1971,52919.507
1972,56457.386
1973,60141.678
1974,63070.979
1975,65963.964
1976,68762.731
1977,71673.769
1978,75109.313
1979,78918.329
1980,82306.928
1981,86312.498
1982,90779.387
1983,95634.285
1984,99486.386
1985,103402.952
1986,107063.253
1987,111090.17
1988,114546.808
1989,117993.819
1990,121824.639
1991,125962.875
1992,131069.211
1993,136044.642
1994,141479.847
1995,147294.124
1996,154264.703
1997,161784.996
1998,169520.922
1999,178037.539
2000,188171.638
2001,198498.007
2002,209446.027
2003,220399.068
2004,232546.431
2005,244481.656
2006,256274.197
2007,268426.107
2008,280413.398
2009,293358.043
2010,306409.03
2011,321295.182
2012,337093.284
2013,351772.34
2014,369463.327
2015,389293.61
2016,412320.711
2017,435351.164
2018,456349.546
2019,479174.439
2020,500280.693
